create_person,2024-05-12 18:00:46
create_person,2024-05-12 18:02:48
create_person,2024-05-12 20:13:00
create_person,2024-05-12 20:13:10
create_person,2024-05-12 20:24:05
create_person,2024-05-12 20:24:59
create_reader,2024-05-12 20:24:59
create_person,2024-05-12 20:33:27
create_author,2024-05-12 20:33:27
create_book,2024-05-12 20:45:22
create_bookloan,2024-05-12 20:55:54
create_bookloan,2024-05-12 21:26:46
create_bookloan,2024-05-12 21:28:26
create_person,2024-05-15 23:42:49
create_reader,2024-05-15 23:42:49
create_person,2024-05-15 23:42:54
create_reader,2024-05-15 23:42:54
create_person,2024-05-15 23:54:49
create_reader,2024-05-15 23:54:49
create_section,2024-05-16 01:03:49
create_section,2024-05-16 01:04:42
create_section,2024-05-16 01:06:00
create_section,2024-05-16 01:11:39
create_person,2024-05-16 09:21:47
create_reader,2024-05-16 09:21:47
create_person,2024-05-16 09:21:47
create_reader,2024-05-16 09:21:47
create_person,2024-05-16 09:21:47
create_author,2024-05-16 09:21:47
create_person,2024-05-16 09:21:47
create_author,2024-05-16 09:21:47
create_person,2024-05-16 09:21:47
create_author,2024-05-16 09:21:47
create_book,2024-05-16 09:29:31
create_book,2024-05-16 09:29:31
create_book,2024-05-16 09:29:31
create_book,2024-05-16 09:29:31
create_bookloan,2024-05-16 09:31:27
create_bookloan,2024-05-16 09:31:27
create_bookloan,2024-05-16 09:31:27
create_bookloan,2024-05-16 09:31:27
create_person,2024-05-16 09:59:36
create_reader,2024-05-16 09:59:36
create_bookloan,2024-05-16 10:41:33
create_book,2024-05-16 11:09:34
